Ссылка на авто;Название авто;Год выпуска;Пробег;Кузов;Цвет;Двигатель;Коробка;Привод;Состояние;Цена в российских рублях;Цена в белорусских рублях;Цена в долларах
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1115034096-b1dc85b7/;Mercedes-Benz GLE Coupe AMG 53 AMG II (C167);2021;1 000 км;внедорожник 5 дв.;синий;3.0 л / 435 л.с. / Бензин;автоматическая;полный;Не требует ремонта;21,780,000;893,355;349,542
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116534615-525b86b6/;Mercedes-Benz GLE Coupe AMG 63 AMG S II (C167);2021;31 000 км;внедорожник 5 дв.;чёрный;4.0 л / 612 л.с. / Бензин;автоматическая;полный;Не требует ремонта;21,890,000;897,867;351,307
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1115239054-7431d2d1/;Mercedes-Benz GLE Coupe AMG 63 AMG S II (C167);2021;15 000 км;внедорожник 5 дв.;чёрный;4.0 л / 612 л.с. / Бензин;автоматическая;полный;Не требует ремонта;24,640,000;1,010,664;395,442
https://auto.ru/cars/new/group/mercedes/gle_klasse_coupe_amg/22103876/22438810/1104886253-6bc7a555/;Предложение от дилера;information not found;information not found;information not found;information not found;information not found;information not found;information not found;information not found;24,750,000;1,015,176;397,207
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1114896577-65597255/;Mercedes-Benz GLE Coupe AMG 63 AMG S II (C167);2021;1 000 км;внедорожник 5 дв.;зелёный;4.0 л / 612 л.с. / Бензин;автоматическая;полный;Не требует ремонта;25,500,000;1,045,939;409,244
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1115314156-5ebd76ca/;Mercedes-Benz GLE Coupe AMG 63 AMG S II (C167);2021;1 000 км;внедорожник 5 дв.;серый;4.0 л / 612 л.с. / Бензин;автоматическая;полный;Не требует ремонта;26,340,000;1,080,393;422,725
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1115885527-3d4d416d/;Mercedes-Benz GLE Coupe AMG 63 AMG S II (C167);2021;1 000 км;внедорожник 5 дв.;чёрный;4.0 л / 612 л.с. / Бензин;автоматическая;полный;Не требует ремонта;27,240,000;1,117,309;437,168
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116964138-47fa8e88/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2017;88 000 км;внедорожник 5 дв.;белый;3.0 л / 367 л.с. / Бензин;автоматическая;полный;Не требует ремонта;3,930,000;161,197;63,071
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116430964-0b999c65/;Mercedes-Benz GLE Coupe AMG 63 AMG S I (C292);2016;128 000 км;внедорожник 5 дв.;коричневый;5.5 л / 585 л.с. / Бензин;автоматическая;полный;Не требует ремонта;4,220,000;173,092;67,725
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1117015334-0b32ccd2/;Mercedes-Benz GLE Coupe AMG 63 AMG I (C292);2017;79 000 км;внедорожник 5 дв.;белый;5.5 л / 558 л.с. / Бензин;автоматическая;полный;Не требует ремонта;4,350,000;178,424;69,812
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1115076944-4ede1e0f/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2015;232 000 км;внедорожник 5 дв.;белый;3.0 л / 367 л.с. / Бензин;автоматическая;полный;Не требует ремонта;4,400,000;180,475;70,614
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1117000639-823c181d/;Mercedes-Benz GLE Coupe AMG 63 AMG I (C292);2015;156 000 км;внедорожник 5 дв.;синий;5.5 л / 558 л.с. / Бензин;автоматическая;полный;Не требует ремонта;4,580,000;187,858;73,503
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116312395-ae2c7309/;Mercedes-Benz GLE Coupe AMG 63 AMG S I (C292);2016;63 000 км;внедорожник 5 дв.;чёрный;5.5 л / 585 л.с. / Бензин;автоматическая;полный;Не требует ремонта;4,590,000;188,269;73,663
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1115589038-b95050fc/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2016;96 000 км;внедорожник 5 дв.;чёрный;3.0 л / 367 л.с. / Бензин;автоматическая;полный;Не требует ремонта;4,600,000;188,679;73,824
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116984473-6e0e9e18/;Mercedes-Benz GLE Coupe AMG 63 AMG I (C292);2015;98 000 км;внедорожник 5 дв.;чёрный;5.5 л / 558 л.с. / Бензин;автоматическая;полный;Не требует ремонта;4,610,000;189,089;73,984
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1115369847-95ea30d2/;Mercedes-Benz GLE Coupe AMG 63 AMG I (C292);2015;70 000 км;внедорожник 5 дв.;серебристый;5.5 л / 558 л.с. / Бензин;автоматическая;полный;Не требует ремонта;4,680,000;191,960;75,108
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116604716-65b1892f/;Mercedes-Benz GLE Coupe AMG 63 AMG I (C292);2017;85 000 км;внедорожник 5 дв.;белый;5.5 л / 558 л.с. / Бензин;автоматическая;полный;Не требует ремонта;4,800,000;196,882;77,034
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116348350-9a6160f7/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2017;186 000 км;внедорожник 5 дв.;чёрный;3.0 л / 367 л.с. / Бензин;автоматическая;полный;Не требует ремонта;4,830,000;198,113;77,515
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1114860604-3a4ba7b8/;Mercedes-Benz GLE Coupe AMG 63 AMG I (C292);2015;142 000 км;внедорожник 5 дв.;синий;5.5 л / 558 л.с. / Бензин;автоматическая;полный;Не требует ремонта;4,920,000;201,804;78,960
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1102554316-c070513c/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2016;82 000 км;внедорожник 5 дв.;чёрный;3.0 л / 390 л.с. / Бензин;автоматическая;полный;Не требует ремонта;4,930,000;202,214;79,120
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116685759-b0e7e577/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2016;87 000 км;внедорожник 5 дв.;чёрный;3.0 л / 367 л.с. / Бензин;автоматическая;полный;Не требует ремонта;4,960,000;203,445;79,601
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1104968348-142de4c3/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2015;94 000 км;внедорожник 5 дв.;чёрный;3.0 л / 367 л.с. / Бензин;автоматическая;полный;Не требует ремонта;4,990,000;204,675;80,083
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116590507-9aaf878c/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2016;89 000 км;внедорожник 5 дв.;чёрный;3.0 л / 367 л.с. / Бензин;автоматическая;полный;Не требует ремонта;5,020,000;205,906;80,564
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1104793562-f761a28b/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2015;93 000 км;внедорожник 5 дв.;белый;3.0 л / 367 л.с. / Бензин;автоматическая;полный;Не требует ремонта;5,090,000;208,777;81,688
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1115882496-954a3564/;Mercedes-Benz GLE Coupe AMG 63 AMG S I (C292);2015;110 000 км;внедорожник 5 дв.;белый;5.5 л / 585 л.с. / Бензин;автоматическая;полный;Не требует ремонта;5,180,000;212,469;83,132
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116897436-dd9c8115/;Mercedes-Benz GLE Coupe AMG 63 AMG I (C292);2017;132 000 км;внедорожник 5 дв.;чёрный;5.5 л / 558 л.с. / Бензин;автоматическая;полный;Не требует ремонта;5,200,000;213,289;83,453
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1104157269-26509f7e/;Mercedes-Benz GLE Coupe AMG 63 AMG S I (C292);2017;172 000 км;внедорожник 5 дв.;серебристый;5.5 л / 585 л.с. / Бензин;автоматическая;полный;Не требует ремонта;5,240,000;214,930;84,095
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116689441-4396f4ea/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2015;76 000 км;внедорожник 5 дв.;белый;3.0 л / 390 л.с. / Бензин;автоматическая;полный;Не требует ремонта;5,280,000;216,570;84,737
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1115579027-03cfbafe/;Mercedes-Benz GLE Coupe AMG 63 AMG S I (C292);2016;204 000 км;внедорожник 5 дв.;чёрный;5.5 л / 585 л.с. / Бензин;автоматическая;полный;Не требует ремонта;5,360,000;219,852;86,021
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116928970-e946c38a/;Mercedes-Benz GLE Coupe AMG 63 AMG S I (C292);2017;64 000 км;внедорожник 5 дв.;серебристый;5.5 л / 585 л.с. / Бензин;автоматическая;полный;Не требует ремонта;5,460,000;223,954;87,626
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116924435-cdf01a14/;Mercedes-Benz GLE Coupe AMG 63 AMG I (C292);2019;14 000 км;внедорожник 5 дв.;белый;5.5 л / 558 л.с. / Бензин;автоматическая;полный;Не требует ремонта;5,520,000;226,415;88,589
